"dossier_folder","dossier_id","nom_societe","forme_juridique","capital_social_eur","rcs","adresse_siege","nom_commercial","activite","type_procedure","date_ouverture","tribunal","administrateur_judiciaire","cabinet_aj","adresse_aj","mandataire_judiciaire","cabinet_mj","juge_commissaire","dldo","effectif_total","nb_offres_recues","filiales","secteur","notes"
"09 - SNC AMIRAL MAIGRET","AMIRAL_MAIGRET","SNC AMIRAL MAIGRET","SNC","","","","","Société SNC - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","16","","Immobilier","SNC AMIRAL MAIGRET fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 200000€ ; MUVICO améliorée : 230000€. DLDO 02/03/2026 (DDO offres améliorées). 16 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"10 - SARL LE CHINON","10-CHINON","LE CHINON","SARL","15245","420429029","49 rue des Abbesses, 75018 Paris","LE CHINON","Café, buvette, brasserie, restaurant","Redressement judiciaire","2025-06-11","Tribunal des Activités Économiques de Paris","Maître Nicolas LOYER","SELARL AJ MEYNET & ASSOCIES","5 rue Saint-Germain l'Auxerrois, 75001 Paris","Maître Sabine ROCHER","SELARL ASTEREN","M. Olivier DUBOUREAU","2026-02-03","8","9","","Restauration / Brasserie traditionnelle Montmartre","Dirigeant historique : Arnaud ATLAN (depuis constitution 2018). Bail commercial sous-location avec SARL Société Hôtelière de la Rue Audren / Rue à Dran (loyer ~46375€ HT/HC annuel, dépôt garantie 6 mois). Licence IV n°764-2004. Capacité ~50 couverts salle + 50 terrasse. CA 2024 ~1,2M€ avec perte 65K€ et capitaux propres négatifs (estimé par offrant 4-M). Inventaire commissaire-priseur SELARL GILLET-SEURAT.MORETTON (Me Nicolas MORETTON) du 19/06/2025 et 29/06/2025. Nantissements fonds de commerce : TAFANEL SAS (54000€ 02/12/2016), KRONENBOURG SAS (144000€ 03/02/2020 / 64800€ 03/02/2022), ETS TAFANEL (64101,70€ 02/09/2022 / 81351,91€ 11/02/2015), ABINBEV (112000€ 16/04/2024). Date limite dépôt offres : mardi 3 février 2026 à 12h00. Date prévisionnelle jugement plan de cession : au plus tard 30/03/2026. Véhicule Yamaha XP560D TMAX (lot n°27) exclu de plusieurs offres."
"10 - SCI ISIS","ISIS","SCI ISIS","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","8","","Immobilier","SCI ISIS fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 240000€ ; MUVICO améliorée : 250000€. DLDO 02/03/2026 (DDO offres améliorées). 8 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"11 - ASSOCIATION MEDICO DENTAIRE CLAYE SOUILLY","11-CLAYE","ASSOCIATION MEDICO-DENTAIRE DE CLAYE SOUILLY","Association","","890148794","","","Pratique dentaire — exploitation d'un centre de santé dentaire sis à Claye-Souilly","Redressement judiciaire","2025-06-19","Tribunal des activités économiques de Paris","Me Sandra BELADJINE ; Me Isabelle DIDIER","SELARL BCM ; SELAS SPE O3 PARTNERS","","Me Julie PERROT ; Me Pablo CASTANON","SELARL ACTIS Mandataires Judiciaires ; SELARL ASTEREN","Jean-Luc BOUR","","","1","","Santé / Centre de santé dentaire","Association immatriculée RCS Paris SIREN 890148794. Cessation des paiements fixée au 1er mai 2025. Procédure d'appel d'offres en vue plan de cession ou plan de redressement. Bail : FREY SA (1 rue René Cassin 51430 Bezannes — gestionnaire Virginie CAMUS). Cahier des charges communiqué par l'AJ. Mention du groupe DENTEKA dans le contexte des sociétés de gestion engagées à faciliter le transfert du bail et des contrats de crédit-bail (Centre d'Enghien cité). Numéro FINESS non transférable judiciairement (exclu) — repreneur doit déposer dossier d'agrément ARS. Inventaire du commissaire de justice Me Claudia MERCIER (05/10/2025) : 77 lots = 7850€ (matériel 250€ + stocks 7600€)."
"11 - SCI L ATELIER DE MONTREUIL","ATELIER_MONTREUIL","SCI L'ATELIER DE MONTREUIL","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","13","","Immobilier","SCI L'ATELIER DE MONTREUIL fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : n.c.€ ; MUVICO améliorée : n.c.€. DLDO 02/03/2026 (DDO offres améliorées). 13 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"12 - SAS ALDADDY","12","SAS ALDADDY","SAS","","","","NUS","Conception, developpement et commercialisation de produits textiles (marque NUS) — lin, fibres naturelles, accessoires de mode","Plan de cession (L.642-1)","","","Me Jean-Baptiste ALBERTINI","SELARL DETROIT","35-37 avenue Sainte-Foy, 92200 Neuilly-sur-Seine","","","","","0","1","","Textile / Mode premium (lin)","Societe cedee sans personnel salarie a la date de depot de l'offre. Aucune reprise de contrat de travail envisagee. Procedure plan de cession articles L.642-1 et suivants Code de commerce. Marque NUS — segment premium textile lin, BtoB (hotellerie, restauration, viticulture, textile corporate)."
"12 - SCI MAUDAPHNE","MAUDAPHNE","SCI MAUDAPHNE","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","11","","Immobilier","SCI MAUDAPHNE fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 250000€ ; MUVICO améliorée : 250000€. DLDO 02/03/2026 (DDO offres améliorées). 11 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"13 - SARL PROGRESS SUP","13","PROGRESS SUP","SARL","48000","482647278","15 et 17 Rue Louis Blanc, 75010 PARIS","PROGRESS SANTE","Enseignement supérieur technique privé spécialisé métiers de la santé (opticien, diététicien, technicien laboratoire, prothésiste dentaire, audioprothésiste, BTS Bio-médical, orthophonie)","Redressement judiciaire","2025-08-19","Tribunal des activités économiques de PARIS","Me Florent HUNSINGER","SCP HUNSINGER-BOUTON","","Me Sabine ROCHER","SELARL ASTEREN","","","110","2","","Enseignement supérieur privé santé","5 établissements en maillage national : Paris (10e), Nice, Lyon, Lille, Reims, Bordeaux. Marque PROGRESS SANTE exploitée depuis 20+ ans. ~1000 étudiants/an. Taux de réussite jusqu'à 96% certaines filières. Fonds d'investissement LIFT VALUE entré au capital. Stratégie d'expansion 2022-2024 mal maîtrisée (LYON 2023, LILLE/REIMS/BORDEAUX 2024) ayant entraîné explosion masse salariale support (+85%) et investissements leasing (+600%). Difficultés : marché plus concurrentiel (CFA 900→3700 en 7 ans), baisse aides État alternants (8000→5000€), saturation marché optique/diététique. BODACC RJ publié 04/09/2025. Inventaire par SCP GILLET-SEURAT MORETTON / Me Nicolas MORETTON. Offre liée à offre concomitante BAC COMMUNICATION (RCS PARIS 413830266) bail Paris.

## Related
- [[_system/MOC-master]]
- [[brantham/_MOC]]"
"13 - SCI GM IMMO","GM_IMMO","SCI GM IMMO","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","7","","Immobilier","SCI GM IMMO fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 400000€ ; MUVICO améliorée : n.c.€. DLDO 02/03/2026 (DDO offres améliorées). 7 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"14 - ASSOCIATION MEDICO DENTAIRE COLMAR 68","14-COLMAR","ASSOCIATION MEDICO-DENTAIRE COLMAR 68","Association loi 1901","","905238648","Colmar (68)","Centre de santé dentaire de Colmar","Pratique dentaire - exploitation d'un centre de santé dentaire","Redressement judiciaire","2025-08-20","Tribunal des activités économiques de Paris","Maître Sandra BELADJINE (SELARL BCM) et Maître Isabelle DIDIER (SELAS SPE O3 PARTNERS)","SELARL BCM / SELAS SPE O3 PARTNERS","","Maître Julie PERROT (SELARL ACTIS Mandataires Judiciaires) et Maître Pablo CASTANON (SELARL ASTEREN)","SELARL ACTIS Mandataires Judiciaires / SELARL ASTEREN","Jean Luc BOUR","","14","3","","Santé - centres de santé dentaire","Immatriculée au RNA de Paris (SIREN 905 238 648). Cessation des paiements fixée au 07/07/2025. Locaux exploités sous bail conclu le 06/11/2021 entre DENTIGEST et GALIMMO. Matériel sous crédit-bail BAIL ACTEA/MUTUALEASE (dossier n°195236) avec action en revendication. Inventaire dressé par Maître Claudia MERCIER (commissaire de justice) le 15/10/2025 : 44 lots pour 5.430€ dont matériel propre Centre limité (lots 33-37,44 = 5.430€) et lot 42 (étiqueteuses+tablette en location probable). Effectif 14 salariés : 5 assistantes dentaires, 5 chirurgiens-dentistes omnipraticiens, 1 chirurgien-dentiste implantologue, 1 chirurgien-dentiste orthodontiste, 2 secrétaires médicales. L'association appartient au réseau DENTEKA ; l'ASSOCIATION MEDICO-DENTAIRE D'ENGHIEN-LES-BAINS est également en RJ par jugement du 20/08/2025 (offres indivisibles). N° FINESS non transférable judiciairement - reprise sous condition agrément ARS 68. Sociétés de gestion du groupe Denteka : DENTIGEST (bail), MEDIPOLE / SAS POINT DENTAIRE / Réseau Denteka. Une seule offre reçue dans le dossier (MEDIVI - 3 versions successives)."
"14 - SARL HEAD BODY BEST SECURITE","14-HBBS","HEAD BODY BEST SECURITE","SARL","","","","HBBS","Securite privee, surveillance humaine, gardiennage","Redressement judiciaire (mission assistance)","2025-05-13","Tribunal des Activites Economiques de Paris","Maitre Isabelle DIDIER","SELAS SPE O3 PARTNERS","67 Boulevard Lannes 75116 Paris (etablissement secondaire : 3 Avenue Beausejour 92500 Rueil Malmaison)","Maitre Valerie LELOUP THOMAS","SELAFA MJA","Monsieur Moise SERERO","2026-04-13","","3","","Securite privee","Dirigeante : Madame Isabelle LACROIX. Representant des salaries : Madame Marguerite JULIEN. N de greffe : P202501806. Cahier des charges date limite 13/04/2026 12h00. Offres deposees en 6 exemplaires papier + Word/PDF. Sites identifies (via offre ALTER-PROTECT) : Cambrai, Puteaux, Bougainville, Cormeilles, Pierrelaye, Gare de l'Est, Gare du Nord, St Lazare, Canebiere, Rivoli/Chatelet, Rambuteau, Gare St Charles. Volume estime 2600-3000h/mois. Effectif estime 22-54 agents selon perimetre repris. 2 offres recues distinctes (GROUP CLEAR depose en double + ALTER-PROTECT)."
"15 - ASSOCIATION MEDICO DENTAIRE D'ENGHIEN LES BAINS","15","ASSOCIATION MEDICO-DENTAIRE D'ENGHIEN-LES-BAINS","Association loi 1901","","891296329 (RNA Paris)","Enghien-les-Bains (95880)","Centre Dentaire Enghien-les-Bains","Pratique dentaire / centre de sante dentaire","Redressement judiciaire","2025-08-20","Tribunal des activites economiques de Paris","Me Sandra BELADJINE (SELARL BCM) ; Me Isabelle DIDIER (SELAS SPE O3 PARTNERS)","SELARL BCM / SELAS SPE O3 PARTNERS","","Me Julie PERROT (SELARL ACTIS Mandataires Judiciaires) ; Me Pablo CASTANON (SELARL ASTEREN)","SELARL ACTIS Mandataires Judiciaires / SELARL ASTEREN","M. Jean-Luc BOUR","","9","4","","Sante - centres de sante dentaire (Reseau DENTEKA)","Cessation des paiements fixee au 07/07/2025. Date d'audience d'examen des offres : 09/02/2026. Reseau DENTEKA comprend 4 associations en procedures collectives : AMD Claye-Souilly (RJ 19/06/2025), AMD Colmar 68 (RJ 20/08/2025), AMD Enghien-les-Bains (RJ 20/08/2025), ADOS 92 (LJ 24/10/2025). Cahier des charges par les co-AJ. Numero FINESS non transferable judiciairement, agrement ARS Ile-de-France (ARS 95) requis. Bail commercial detenu par DENTIGEST (groupe DENTEKA, en RJ) avec les consorts CAUCHOIX (gestionnaire Cabinet CASSAGNE/COLONNA). Materiel financement BAIL ACTEA/MUTUALEASE (dossier 181542) en revendication. Effectif 9 salaries (4 chirurgiens-dentistes omni-praticiens, 1 assistante dentaire, 2 secretaires medicales, 2 secretaires medicales referentes). Une seule candidate : MEDIVI/Reseau PLACE DENTAIRE (groupe Haddouk). 4 offres successives deposees : initiale 12/01/2026, ameliorees 27/01, 04/02, 11/02/2026. Offre finale 11/02/2026 indivisible avec offre Colmar 68 (memes candidats MEDIVI). Le centre de Nanterre (468 bd des Provinces Francaises, anciennement ADOS 92) est integre via cession du droit au bail POINT DENTAIRE/MEDIPOLE pour 146.400 EUR. Avocat des AJ : Cabinet PZ Avocats (Paul ZEITOUN, Delphine MENGEOT)."
"16 - SAS à associé unique UMAKAYU","16","UMAKAYU","SASU","","897805008","15 rue Gaillon, 75002 Paris","Kintaro Café / Café Maru","Exploitation de deux fonds de commerce de café/salon de thé d'inspiration asiatique (japonaise et coréenne) — restauration rapide et pâtisserie","Redressement judiciaire","2025-09-11","Tribunal des activités économiques de Paris","Me Céline Pelzer","SELARL P2G","","Me Stéphane Gorrias","SCP BTSG","Pascal Cholmé","","22","3","","Restauration / Café-pâtisserie","Société appartenant au groupe Kintaro Group. Exploite 2 fonds : Kintaro Café (15 rue Gaillon 75002, restauration rapide japonaise — sando, bento, shokupan) et Café Maru (8/10 rue de Ventadour et 57 rue des Petits Champs 75001, concept mixte japonais/coréen avec green café au RDC et salon de thé à l'étage). Intègre un laboratoire de pâtisserie européenne et japonaise produisant les desserts pour les autres restaurants du groupe. Inscription privilège L.642-12 al.4 au profit du CIC pour prêt de 380.000€ initiaux (solde 184.908€ — Kintaro Café). Dépôt de garantie Bail Café Maru : 32.837€."
"16 - SNC COROT","COROT","SNC COROT","SNC","","","","","Société SNC - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","12","","Immobilier","SNC COROT fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 120000€ ; MUVICO améliorée : 130000€. DLDO 02/03/2026 (DDO offres améliorées). 12 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"17 - SARL à associé unique S S H","SSH","SSH","SARL à associé unique","","","3 rue Frédéric Sauton, Paris 5ème","","Cordonnerie / Métiers du cuir","Redressement judiciaire","","Tribunal de commerce de Paris","Étude DETROIT","Étude DETROIT","","","","","","","1","","Artisanat / Cordonnerie","Fonds de commerce situé 3 rue Frédéric Sauton Paris 5ème. Avocat du dossier : Maître GOUGET (Avocat à la Cour)."
"17 - SCCV 121 HENRI GINOUX","HENRI_GINOUX","SCCV 121 HENRI GINOUX","SCCV","","","","","Société SCCV - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","13","","Immobilier","SCCV 121 HENRI GINOUX fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 400000€ ; MUVICO améliorée : 200000€. DLDO 02/03/2026 (DDO offres améliorées). 13 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"18 - SARL 3S OPTIC","18","3S OPTIC","SARL","","978996601","126 rue de Rennes, 75006 Paris","EYESHOW","Exploitation d'un fonds de commerce d'optique sous l'enseigne EYESHOW","Redressement judiciaire","2025-10-16","Tribunal des activités économiques de Paris","Me Jérôme CABOOTER","SELARL AJ LINK LABIS CABOOTER","7 rue Caumartin, 75009 Paris","Me Charlotte THIRION","SELARL ATHENA","Monsieur Guillaume SIMON","","","1","","Optique / Lunetterie","Représentant légal : Steve SAILLANT. Référence procédure : 2025080945, n°greffe P202503907. Audience d'examen des offres : 16/01/2026 à 14h30. Plan de cession sous L.631-13, L.631-22, L.642-1 et suivants du Code de commerce."
"18 - SCI JEAN RENAUDIE","JEAN_RENAUDIE","SCI JEAN RENAUDIE","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","9","","Immobilier","SCI JEAN RENAUDIE fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 160000€ ; MUVICO améliorée : 170000€. DLDO 02/03/2026 (DDO offres améliorées). 9 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"19 - SAS BAC COMMUNICATION","","","","","","","","","","","","","","","","","","","","","","",""
"19 - SCI LE LOFT","LE_LOFT","SCI LE LOFT","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","8","","Immobilier","SCI LE LOFT fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 260000€ ; MUVICO améliorée : 270000€. DLDO 02/03/2026 (DDO offres améliorées). 8 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"20 - SAS à associé unique SYM TECH","20","SYM TECH","SAS à associé unique","","","","SYM GROUP","Optique mobile / tech santé visuelle","Redressement judiciaire","2025-11-04","Tribunal des Affaires Economiques de Paris","Charles-Henri CARBONI","SELARL DETROIT","","Florian LACOUR","SELAFA MJA","Pénélope DE WULF","","29","1","SYM LAB GROUP SAS, SYM OPTIC, SYM TECH (groupe SYM)","Optique / santé visuelle","Groupe SYM (SYM LAB GROUP SAS + SYM OPTIC + SYM TECH). Siège 24 rue de Châteaudun 75009 PARIS. 29 contrats portés à la connaissance des repreneurs (20 SYM OPTIC + 3 SYM TECH + autres). Offre de reprise présentée comme acquisition d'actifs des sociétés constituant le groupe SYM GROUP au sens art. L.642-1 et s. C. com."
"20 - SCI 60 RUE MARCEL BONNET","MARCEL_BONNET","SCI 60 RUE MARCEL BONNET","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","10","","Immobilier","SCI 60 RUE MARCEL BONNET fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : n.c.€ ; MUVICO améliorée : n.c.€. DLDO 02/03/2026 (DDO offres améliorées). 10 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"21 - SAS à associé unique SYM OPTIC FRANCE","21-SYM-OPTIC","SAS à associé unique SYM OPTIC FRANCE","SAS","","","24 rue de Châteaudun, 75009 Paris","SYM","Optique / santé visuelle (groupe SYM : SYM LAB GROUP, SYM OPTIC, SYM TECH)","Redressement judiciaire","2025-11-04","Tribunal des Affaires Economiques de Paris","Maître Charles-Henri CARBONI","SELARL DETROIT","","Maître Florian LACOUR","SELAFA MJA","Pénélope DE WULF","","29","1","SYM LAB GROUP SAS, SYM OPTIC, SYM TECH","Optique / santé","Offre L 642-1 portant sur les actifs du groupe SYM (SYM LAB GROUP SAS, SYM OPTIC, SYM TECH). 29 contrats de travail portés à connaissance du repreneur. Bail siège 24 rue de Châteaudun 75009 Paris non repris (à renégocier). DLDO non précisée dans le PDF (audience non convoquée à la date de l'offre)."
"21 - SCI AEDES","AEDES","SCI AEDES","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","9","","Immobilier","SCI AEDES fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 90000€ ; MUVICO améliorée : 100000€. DLDO 02/03/2026 (DDO offres améliorées). 9 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"22 - SAS SYM LAB GROUP","22-SYM-LAB","SYM LAB GROUP","SAS","","","24 rue de Châteaudun, 75009 Paris","SYM GROUP","Santé visuelle hors magasin (optique + audio + tech) — start-up","Redressement judiciaire (plan de cession L 642-1)","2025-11-04","Tribunal des Affaires Economiques de Paris","Maître Charles-Henri CARBONI","SELARL DETROIT","","Maître Florian LACOUR","SELAFA MJA","Pénélope DE WULF","","29","1","SYM OPTIC, SYM TECH","Optique / Santé visuelle","Groupe constitué de SYM LAB GROUP SAS + filiales SYM OPTIC et SYM TECH. 29 contrats de travail portés à la connaissance du repreneur (20 SYM OPTIC + 3 SYM TECH repris sur 29). Bail siège 24 rue de Châteaudun 75009 Paris non repris (à renégocier). Capital social, RCS et données financières débiteur non précisés dans l'offre. Représentants des salariés et Ministère Public destinataires de l'offre."
"22 - SCI MARIE MADELEINE","MARIE_MADELEINE","SCI MARIE MADELEINE","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","5","","Immobilier","SCI MARIE MADELEINE fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 480000€ ; MUVICO améliorée : 500000€. DLDO 02/03/2026 (DDO offres améliorées). 5 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"23 - SAS A J CONSEIL","AJ","AJ CONSEIL","","","","","AJ CONSEIL / AJILINK","Recrutement, mise à disposition de personnel, conseil RH, intérim","Redressement judiciaire","","","","","","","","","2025-12-05","4","4","","Recrutement / Intérim / Conseil RH","Société en redressement judiciaire. 4 offres de reprise déposées. Activité de recrutement et mise à disposition de personnel dans les secteurs du tourisme, hôtellerie et tertiaire. Marque INPI n°174393736."
"23 - SCI ATELIER URBAIN","ATELIER_URBAIN","SCI ATELIER URBAIN","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","11","","Immobilier","SCI ATELIER URBAIN fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 850000€ ; MUVICO améliorée : 880000€. DLDO 02/03/2026 (DDO offres améliorées). 11 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"24 - SAS LA BELLE FORÊT","24","SAS LA BELLE FORET","SAS","242918","899658983","87 rue de Reuilly, 75012 Paris","La Belle Foret","Developpement et commercialisation de projets forestiers labellises Label Bas-Carbone (LBC) - sylviculture melangee a couvert continu","Sauvegarde","2025-11-10","Tribunal des Activites Economiques de Paris","Maitre Charles-Henri CARBONI ; Maitre Jean BARON","SELARL DETROIT ; SCP CBF ASSOCIES","SELARL DETROIT : 35-37-39 Avenue Sainte-Foy, 92522 Neuilly-sur-Seine ; SCP CBF ASSOCIES : 58 Rue Saint-Genes, 33000 Bordeaux","Me Sabine ROCHER","SELARL ASTEREN","M. Patrick Renouard","2025-12-12","8","4","","Credits carbone / reforestation / Label Bas-Carbone","N RG : 2025091177. N PC : P202504377. Adresse MJ : 55 rue de Lyon 75012 Paris. 8 postes dont 5 toujours pourvus (3 personnes declarees partantes au moment de l'offre Oklima). Portefeuille de 31 contrats forestiers labellises ou en cours de labellisation LBC, surface cumulee environ 2500 hectares, tonnage cumule ~120 000 tCO2eq 2025-2030. Dataroom electronique ouverte le 2 decembre 2025."
